candidate_id,rank,score,reasoning
CAND_0021491,78,0.6993,"Senior Engineer showing true product engineering background with 6.1 years of experience. Demonstrates clear production tracking across target skillsets (python, pytorch, scikit-learn)."
CAND_0026424,79,0.6993,Senior Engineer showing true product engineering background with 5.6 years of experience. Demonstrates clear production tracking across target skillsets (embeddings).
CAND_0074123,80,0.6993,Senior Engineer showing true product engineering background with 6.9 years of experience. Demonstrates clear production tracking across target skillsets (pytorch).
CAND_0088441,81,0.6993,Senior Engineer showing true product engineering background with 6.5 years of experience. Demonstrates clear production tracking across target skillsets (scikit-learn).
CAND_0003506,82,0.6989,"Senior Engineer showing true product engineering background with 5.9 years of experience. Demonstrates clear production tracking across target skillsets (embeddings, tensorflow, rag)."
CAND_0068932,83,0.6989,"Senior Engineer showing true product engineering background with 5.2 years of experience. Demonstrates clear production tracking across target skillsets (rag, scikit-learn)."
CAND_0074731,84,0.6989,"Senior Engineer showing true product engineering background with 6.6 years of experience. Demonstrates clear production tracking across target skillsets (python, tensorflow, pytorch)."
CAND_0020845,85,0.6988,Senior Engineer showing true product engineering background with 7.0 years of experience. Demonstrates clear production tracking across target skillsets (scikit-learn).
CAND_0089381,86,0.6988,"Senior Engineer showing true product engineering background with 6.0 years of experience. Demonstrates clear production tracking across target skillsets (python, pytorch)."
CAND_0030550,87,0.6987,Senior Engineer showing true product engineering background with 5.2 years of experience. Demonstrates clear production tracking across target skillsets (scikit-learn).
CAND_0087766,88,0.6985,Senior Engineer showing true product engineering background with 5.1 years of experience. Demonstrates clear production tracking across target skillsets (rag).
CAND_0065501,89,0.6984,"Senior Engineer showing true product engineering background with 6.0 years of experience. Demonstrates clear production tracking across target skillsets (embeddings, python, scikit-learn)."
CAND_0087006,90,0.6984,Senior Engineer showing true product engineering background with 5.7 years of experience. Demonstrates clear production tracking across target skillsets (rag).
CAND_0028793,91,0.6982,"Senior Engineer showing true product engineering background with 7.2 years of experience. Demonstrates clear production tracking across target skillsets (embeddings, pytorch)."
CAND_0008202,92,0.6977,"Senior Engineer showing true product engineering background with 5.7 years of experience. Demonstrates clear production tracking across target skillsets (python, pytorch, rag)."
CAND_0035779,93,0.6971,"Senior Engineer showing true product engineering background with 5.5 years of experience. Demonstrates clear production tracking across target skillsets (pytorch, rag)."
CAND_0052328,94,0.697,"Senior Engineer showing true product engineering background with 6.5 years of experience. Demonstrates clear production tracking across target skillsets (python, scikit-learn)."
CAND_0092989,95,0.697,"Senior Engineer showing true product engineering background with 6.1 years of experience. Demonstrates clear production tracking across target skillsets (tensorflow, rag)."
CAND_0003791,96,0.6965,"Senior Engineer showing true product engineering background with 6.6 years of experience. Demonstrates clear production tracking across target skillsets (python, pytorch)."
CAND_0073982,97,0.6964,"Senior Engineer showing true product engineering background with 7.0 years of experience. Demonstrates clear production tracking across target skillsets (pytorch, rag)."
CAND_0090584,98,0.6962,"Senior Engineer showing true product engineering background with 5.1 years of experience. Demonstrates clear production tracking across target skillsets (embeddings, rag)."
CAND_0098288,99,0.6959,"Senior Engineer showing true product engineering background with 6.7 years of experience. Demonstrates clear production tracking across target skillsets (python, rag, scikit-learn)."
CAND_0060538,100,0.6955,"Senior Engineer showing true product engineering background with 5.2 years of experience. Demonstrates clear production tracking across target skillsets (embeddings, scikit-learn)."
